name,slots,empty_slots,free_bikes,latitude,longitude
058_CALLE REGINA,19,17,1,37.39436722277961,-5.991544993040244
118_PLAZA DE CUBA,20,12,8,37.379791416292186,-5.997107796424417
067_CALLE LEONARDO DA VINCI,20,2,18,37.404162533250535,-6.00730227091074
207_CALLE IFNI,20,3,15,37.35501634616241,-5.982370155065175
102_CALLE JUAN DE MATA CARRIAZO,20,17,3,37.38273945636004,-5.983720175839885
014_AVENIDA SANCHEZ PIZJUAN,40,19,21,37.4064737057759,-5.989118739088445
232_AVENIDA ALCALDE LUIS URUÑUELA,15,4,11,37.40393955876748,-5.939739033438785
167_GLORIETA BIZCO AMATE,20,4,16,37.37334966832237,-5.964933613203329
253_HOSPITAL VALME,30,18,12,37.320417860390016,-5.96902252657327
079_PLAZA DE LAS MERCEDARIAS,10,9,1,37.388326477494125,-5.98690419023187
227_AVENIDA ALCALDE LUIS URUÑUELA,12,9,3,37.39075351415996,-5.91963595581283
090_CALLE ROMA,20,1,19,37.381198446608074,-5.993528209364882
224_AVENIDA DE LAS CIENCIAS,15,15,0,37.397013539467245,-5.923756974136509
117_AVDA ESPERANZA DE TRIANA,14,6,7,37.377806429728786,-6.002613239293098
123_ESTADIO OLIMPICO,20,8,12,37.41585058006381,-6.005474271334001
258_ESTACA DE VARES,17,12,5,37.38369648551305,-5.914819934855601
142_CALLE RAMON DE CARRANZA,18,15,2,37.371651407131054,-5.997212216783402
051_AVENIDA TORNEO,20,15,5,37.395519500564795,-6.002321248467498
251_AVDA. CRUZ CAMPO,15,15,0,37.384349424571234,-5.965378365247481
043_RONDA CAPUCHINOS,15,10,5,37.399156087435365,-5.982736630025496
237_CIUDAD DE CHIVA,15,12,3,37.409334585727706,-5.923254979770833
011_ALBERTO JIMÉNEZ BECERRIL,20,17,3,37.4071428838914,-5.99259029973418
196_CALLE ESTRELLA CANOPUS,20,0,20,37.42470162875488,-5.970101152202059
062_PLAZA DE ARMAS,39,22,17,37.391061482462725,-6.003150248813141
216_CALLE ANTIOQUIA,15,13,1,37.39993753083735,-5.95628508908707
248_GLORIETA DE LOS FERROVIARIOS,15,0,12,37.421903023693936,-5.983004288085699
080_CALLE LUIS MONTOTO,20,17,2,37.3876274768589,-5.98102716921146
184_AVENIDA ALCALDE MANUEL DEL VALLE,20,15,5,37.408524564095075,-5.97049314429485
133_AVENIDA SANTA FE,20,18,2,37.37403941410158,-6.004198242683363
187_CALLE DOCTOR LAFFON,20,18,2,37.39540051410288,-5.964043114126317
165_AVENIDA DE ANDALUCIA,20,19,1,37.38764548429808,-5.96095309881845
259_OCHO DE MARZO,30,25,5,37.36731840562508,-5.954117063090828
106_AVENIDA EDUARDO DATO,15,14,1,37.383797462883464,-5.977454154468565
022_AVENIDA DE LLANES,20,4,16,37.40512954896668,-5.974831157557763
097_PASEO DE CRISTÓBAL COLÓN,20,10,10,37.381535447210965,-5.995552216661944
081_CALLE LUIS MONTOTO,15,13,1,37.387156202671285,-5.971016767894659
234_CALLE MÉDICOS SIN FRONTERA,14,14,0,37.3999401269442,-5.925163964339344
235_CIUDAD DE CHIVA,15,7,8,37.411735810991,-5.929859071297002
213_AVENIDA DE ANDALUCIA,20,20,0,37.38714348690405,-5.948410054553437
160_PASEO CRISTOBAL COLON,20,20,0,37.387178,-6.001376
244_AVENIDA LOS GAVILANES,15,5,9,37.3780400290467,-5.95178368562984
190_AVENIDA HYTASA,15,12,3,37.36873540997663,-5.957293074803896
247_AVDA. RAMON Y CAJAL,30,0,29,37.37823143994186,-5.979362157954825
141_CALLE FELIPE II,20,15,5,37.37173344957564,-5.981895354240737
242_PLAZA NUEVA,20,0,20,37.38881830392981,-5.995750976296489
027_AVENIDA DE LLANES,17,16,1,37.403877544974165,-5.972090147223454
001_GLORIETA OLIMPICA,20,19,1,37.4129235511391,-5.98890593824315
217_CALLE DE LA A.D.A.,15,4,11,37.393874505420214,-5.962371106824864
153_AVENIDA REINA MERCEDES,27,2,25,37.36297137649665,-5.986262173333679
140 NUESTRA SEÑORA DE LAS MERCEDES,16,12,3,37.3723704173039,-5.97736214754443
017_CALLE DE MADRESELVA,20,15,4,37.40715155556869,-5.978840172776446
049_ALAMEDA DE HERCULES,20,20,0,37.39686550900737,-5.99392721978722
091_CALLE PROCURADOR,20,18,1,37.38690746421921,-6.007674262301094
110_CIUDAD DE RONDA,20,0,19,37.37972144428237,-5.983801174387398
115_CALLE LOPEZ DE GOMARA,20,10,10,37.377892428375446,-6.007237255573729
191_GLORIETA CARLOS CANO,20,20,0,37.37411641267212,-6.008853259077473
205_AVENIDA KANSAS CITY,20,10,8,37.39981714629299,-5.961922341869038
222_AVENIDA ALCALDE LUIS URUÑUELA,16,7,9,37.40508356497133,-5.933616012901859
177_AVENIDA ALCALDE JUAN FERNÁNDEZ,17,12,5,37.373068423133994,-5.9690941189446
088_CALLE AMERICO VESPUCIO,20,11,9,37.40934127713802,-6.006338859390215
007_CALLE AMÉRICO VESPUCIO,20,0,20,37.4074694906696,-6.007603350403363
045_CARRETERA DE CARMONA,15,15,0,37.39992052707672,-5.97781616502751
086_CAMINO DE LOS DESCUBRIMIENTOS,40,34,5,37.39707250530929,-6.006304263337968
005_CAMINO DE LOS DESCUBRIMIENTOS,40,0,39,37.41104356266495,-6.001959256107801
176_AVENIDA DE LA CIUDAD JARDÍN,20,10,9,37.3775594419921,-5.966557112643772
083_AVENIDA LA BUHAIRA,20,11,9,37.386955475268515,-5.978051158384551
193_AVENIDA DE CORIA,20,8,11,37.38111143948424,-6.012005274166835
212_AVENIDA REINIDO UNIDO,15,1,14,37.351582337691354,-5.977784137525409
018_AVENIDA EDUARDO DATO,20,20,0,37.38207545943934,-5.968121120738779
099_CALLE AMÉRICO VESPUCIO,40,35,5,37.397394505010546,-6.010641278744458
069_CALLE JOSE LAGUILLO,20,18,2,37.39201049535389,-5.978293162147303
198_CALLE MAR DE ALBORÁN,20,1,19,37.42044661256891,-5.967956142243533
219_CALLE DE LA A.D.A.,15,12,3,37.3905365010144,-5.959072093702479
137_AVENIDA DE LA BORBOLLA,20,1,19,37.37375841984501,-5.985517176959137
068_CALLE JUAN ANTONIO CABESTANY,15,14,0,37.39029248788509,-5.979964167018684
254_ALHAMBRA,30,18,12,37.32942977136568,-5.968971229675001
138_CALLE RAMÓN CARANDE,20,1,18,37.374370424709774,-5.978934154215835
260_REVOLTOSA,20,9,11,37.377023215492045,-5.947035486155897
042_PLAZA CRONISTA,15,12,2,37.3987059174522,-5.989460016816095
199_MAR DE ALBORÁN,20,4,16,37.417855601747895,-5.969296145455354
113_PLAZA SAN MARTÍN DE PORRES,15,7,8,37.380778439190046,-6.009179264054355
094_PLAZA DEL ZURRAQUE,18,18,0,37.383369449862734,-6.008294262440252
152_CALLE SAMANIEGO,20,11,7,37.3957905118738,-5.97437315057576
098_AVENIDA DE ROMA,30,0,30,37.382043350305,-5.993030169261488
003_PUERTA DE LA BARQUETA,40,30,9,37.40564154237001,-5.998488240831263
019_PARLAMENTO,20,16,1,37.403327536585486,-5.989037206345736
147_CARRETERA DE CARMONA,15,13,2,37.40079553153059,-5.975228156455095
185_AVENIDA ALCALDE MANUEL DEL VALLE,20,15,5,37.40509431569403,-5.968862135165761
239_CALLE CIUDAD DE LIRIA,15,12,3,37.408691582745696,-5.927718994548674
029_CARRETERA DE CARMONA,15,12,3,37.402463540044714,-5.970145139589757
182_CALLE VICTORIA KENT,15,7,8,37.41459658707776,-5.973881159661203
172_RONDA TAMARGUILLO,20,10,7,37.367172398818624,-5.971211122957581
156_AVENIDA KANSAS CITY,20,15,3,37.391453411096606,-5.972761755091493
161_AVENIDA ALCALDE MANUEL DEL VALLE,20,18,1,37.40000053060032,-5.969103134518509
023_PARLAMENTO,15,7,8,37.403337536978945,-5.98787920228648
008_CALLE AMERICO VESPUCIO,20,0,20,37.4009693828541,-6.00938173537619
164_CALLE LUIS MONTOTO,19,17,2,37.387649350924015,-5.965655252045698
004_CALLE LEONARDO DA VINCI,40,11,29,37.41011155757378,-6.005722268777397
136_CALLE ASUNCIÓN,20,18,1,37.37311941284756,-5.997610219028108
015_CALLE DR MARAÑON,15,14,1,37.40604157176221,-5.985733700014785
104_AVENIDA EDUARDO DATO,20,17,3,37.38413592692444,-5.979676676296534
179_RONDA URBANA NORTE,20,17,3,37.413163177395056,-5.985131221637643
166_RONDA DEL TAMARGUILLO,13,13,0,37.38859048869724,-5.959240093357595
006_CAMINO DE LOS DESCUBRIMIENTOS,20,0,20,37.40661378981103,-6.002977947581603
013_CALLE FERIA,15,14,1,37.40313353475898,-5.991918216341031
170_PLAZA ANTONIO APARICIO HERRERO,18,16,2,37.37896644673701,-5.968923121755333
240_AVENIDA ALCALDE LUIS URUÑUELA,15,12,3,37.402579544488994,-5.940435585086025
044_RONDA CAPUCHINOS,15,11,4,37.39833897229492,-5.981640026763738
084_CALLE JOSÉ MARÍA MORENO GALVÁN,20,12,6,37.387350475004816,-5.983068176211725
245_CALLE LAS LEANDRAS,15,8,7,37.37539881124939,-5.952549466245021
150_CALLE SAN JUAN BOSCO,20,7,13,37.39674851413617,-5.978634166071806
093_RONDA DE TRIANA,15,13,2,37.38312344793415,-6.010876271362328
204_CALLE DOCTOR LAFFON,15,10,4,37.39768969188425,-5.96160136486722
078_CALLE ALFARERIA,20,19,1,37.38857113316299,-6.010282378350756
130_GLORIETA REPUBLICA DOMINICANA,20,6,14,37.37574541795484,-6.005247727302032
031_AVENIDA DE MIRAFLORES,13,13,0,37.40054152885159,-5.979781172277264
163_CALLE SINAÍ,14,11,3,37.38995448989595,-5.970802134688754
120_GLORIETA SAN DIEGO,15,2,13,37.37896144135567,-5.989966195594725
210_PASEO DE EUROPA,15,9,4,37.348061320332235,-5.980058142587488
030_AVENIDA EDUARDO DATO,20,20,0,37.382628460642394,-5.970853130640082
002_GRAN PLAZA,18,16,2,37.381578045327934,-5.96522396639778
037_ALAMEDA DE HÉRCULES,20,20,0,37.398785772824745,-5.99318901314001
233_AVENIDA ALCALDE LUIS URUÑUELA,15,1,13,37.404112556103925,-5.937092024971125
236_CIUDAD DE CHIVA,15,13,2,37.4102171143178,-5.926422374057527
175_RONDA TAMARGUILLO,20,11,8,37.37775744487495,-5.960870092813821
201_CALLE PINO MONTANO,20,13,7,37.41568359361039,-5.967858139167567
107_CALLE LUIS MORALES,30,25,5,37.38425946651307,-5.972591137677613
139_AVENIDA DIEGO MARTINEZ BARRIO,15,7,8,37.375075258863696,-5.975863125578401
197_CALLE AGRICULTORES,20,2,7,37.423438625065074,-5.96640413851815
181_RONDA URBANA NORTE,20,15,5,37.41335157894307,-5.982568189409848
034_PLAZA PUMAREJO,15,9,6,37.40102752757453,-5.988578203413862
252_GASPAR CALDERAS,25,17,8,37.32458203503861,-5.968972128124462
040_AVENIDA REINA MERCEDES,30,22,7,37.35635082669173,-5.986459877403918
050_CALLE DE HERNÁN CORTÉS,17,15,2,37.397554510745486,-5.996695229895344
229_AVENIDA AERONAUTICA,15,9,6,37.38735449491008,-5.919918954593122
151_CALLE URQUIZA,20,12,8,37.394544466945845,-5.979897194354694
116_CALLE MANUEL SIUROT,20,2,18,37.36143037206055,-5.981603156091943
155_AVENIDA KANSAS CITY,20,14,6,37.392910501713985,-5.970739136171973
124_CALLE ENRAMADILLA,20,1,19,37.37773043874411,-5.977244150228713
092_RONDA DE TRIANA,20,20,0,37.385838469752265,-6.011220377621846
111_PZA FARMACÉUTICO MURILLO HERRERA,20,15,4,37.3813174443225,-6.001053235842167
189_AVENIDA HYTASA,20,17,3,37.37005341642907,-5.959496083704879
223_CALLE GEMA,15,8,7,37.40073135956411,-5.92632420198497
121_CALLE DOCTOR PEDRO DE CASTRO,15,2,12,37.377158434736266,-5.981935166355452
025_AVENIDA DE LA CRUZ ROJA,20,10,10,37.40313253870445,-5.981109178424791
085_PASEO CATALINA RIBERA,20,18,2,37.38535146566221,-5.986785188099708
076_PLAZA NUEVA,30,12,18,37.38893947673792,-5.995646221258141
105_CALLE FRANCISCO MURILLO,19,9,10,37.358910362359936,-5.980620151182153
114_GLORIETA PLUS ULTRA,30,16,14,37.356372352725714,-5.979262144945245
144_AVENIDA DE LA PALMERA,20,12,8,37.36912633937041,-5.988080397280193
215_CALLE ZORZAL,15,9,6,37.38664148025849,-5.953981074150936
071_AVENIDA KANSAS CITY,18,14,3,37.39003048884624,-5.974491147670695
108_AVENIDA EDUARDO DATO,15,1,14,37.382852503457265,-5.973249491935667
230_AVENIDA DE LAS CIENCIAS,14,14,0,37.403927559446025,-5.928139993197263
178_CALLE JOSÉ SARAMAGO,20,18,2,37.373304076262805,-5.97391890132113
028_CALLE RAFAEL SALGADO,18,4,13,37.360261369216595,-5.976659138066708
095_CALLE AMÉRICO VESPUCIO,20,15,5,37.41217356557977,-6.006338272120392
057_PLAZA CRISTO DE BURGOS,15,5,10,37.39231861674279,-5.989705187094715
225_CALLE FLOR DE RETAMA,15,12,3,37.397390540237105,-5.918776956284244
231_AVENIDA ALCALDE LUIS URUÑUELA,15,6,8,37.401673546456635,-5.942139041014662
127_CALLE VIRGEN DE LA VICTORIA,15,13,1,37.37764043077863,-5.997947222820481
183_ALCALDE MANUEL DEL VALLE,15,11,4,37.41101757377389,-5.97121914827267
238_CIUDAD DE CHIVA,15,9,6,37.408132573830756,-5.919993048486191
039_PLAZA SAN ANTONIO DE PADUA,20,15,4,37.397840022304365,-5.998504686877961
131_CALLE TABLADILLA,20,2,18,37.364750385373725,-5.981452157485012
035_ALAMEDA DE HERCULES,20,20,0,37.400682524351275,-5.993630220939186
129_CALLE VIRGEN DE LUJAN,20,16,4,37.374668417254036,-6.002455236928109
174_RONDA TAMARGUILLO,20,16,4,37.38061245637617,-5.960574093426685
072_CALLE AMADOR DE LOS RIOS,20,12,6,37.39071248853365,-5.982768177096753
180_CALLE DOCTOR JAIME MARCOS,20,18,1,37.40964956350476,-5.98440119371439
020_CALLE SAN JUAN DE RIBERA,15,3,12,37.404869543652175,-5.986537198461927
052_CALLE DEL INCA GARCILASO,40,8,16,37.39422649248208,-6.010309275759171
032_CALLE MUÑOZ LEÓN,15,13,2,37.402019532357485,-5.986323196073661
157_AVENIDA CARDENAL BUENO MONREAL,20,14,5,37.369799405424466,-5.978194722821982
112_AVDA ESPERANZA DE TRIANA,20,14,6,37.380153438452595,-6.004383246859136
134_CALLE VIRGEN DE LUJÁN,24,22,1,37.374770419100905,-5.998536223231469
070_ESTACIÓN RENFE SANTA JUSTA,40,40,0,37.39115849280489,-5.975971153511849
159_AVENIDA CARDENAL BUENO MONREAL,20,0,18,37.36804539727759,-5.984854171329494
135_CALLE VIRGEN DE LUJÁN,17,4,12,37.37465142036539,-5.993801206544696
162_AVENIDA SOLEA,18,15,3,37.39154049708111,-5.96846612741093
010_CALLE JOSE DIAZ,20,19,0,37.40938502560925,-5.990766008714238
075_PLAZA SAN FRANCISCO,20,5,15,37.387997377700096,-5.993587446638155
146_AVENIDA REINA MERCEDES,20,10,10,37.360100626411395,-5.986312974875395
126_AVENIDA REINA MERCEDES,25,12,13,37.358164858839395,-5.986482708713183
158_AVENIDA CARDENAL BUENO MONREAL,20,19,0,37.3688534016955,-5.981618160442233
009_CAMINO DE LOS DESCUBRIMIENTOS,20,3,17,37.40332453110276,-6.004020258912579
060_PLAZA DE LA CONCORDIA,19,6,13,37.39395749631202,-5.996899228542791
064_CALLE CUESTA DE ROSARIO,15,10,5,37.38985648205481,-5.991125205922743
218_PLAZA DEL ALTOZANO,14,14,0,37.38512441847878,-6.003542147441712
063_CALLE SAN PABLO,20,0,0,37.390456481894525,-5.998103230753266
074_PLAZA PILATOS,15,5,10,37.38977148326459,-5.986897191039803
054_PLAZA SAN JUAN DE LA PALMA,15,15,0,37.39523950356959,-5.991050208758028
089_CALLE ADRIANO,18,9,9,37.38648146613877,-5.997790227366178
053_CALLE REYES CATÓLICOS,17,2,15,37.38934147689296,-5.999605235382445
047_CALLE HINIESTA,15,15,0,37.39713251259333,-5.987037195768433
065_CALLE ALHÓNDIGA,14,12,2,37.391299488908295,-5.988140196280803
228_AVENIDA DE LAS CIENCIAS,15,11,4,37.394449523785354,-5.921230963560515
250_CALLE DE SALVADOR ALLENDE,15,4,10,37.421879,-5.985663
203_CALLE TESALÓNICA,20,7,13,37.396093518802566,-5.958764096016824
145_AVENIDA REINA MERCEDES,20,4,16,37.360233228861155,-5.986318234050904
048_CALLE CHURRUCA,15,11,3,37.39715651121527,-5.991066209916829
